municipality,barangay,district,lat,lon,elevation_m
SantaMaria,SantaCruz,6,15.959933,120.7092,40.0
SantaMaria,SantaRosa,6,15.98146,120.68564,36.0
SantoTomas,LaLuna,5,15.87796,120.57042,28.0
SantoTomas,PoblacionEast,5,15.87785,120.578467,26.0
SantoTomas,PoblacionWest,5,15.88046,120.57138,32.0
SantoTomas,Salvacion,5,15.885967,120.58405,31.0
SantoTomas,SanAgustin,5,15.87832,120.5811,30.0
SantoTomas,SanAntonio,5,15.868183,120.563483,30.0
SantoTomas,SanJose,5,15.871317,120.565317,25.0
SantoTomas,SanMarcos,5,15.8758,120.56836,31.0
SantoTomas,Santo Domingo,5,15.866967,120.576133,26.0
SantoTomas,SantoNiño,5,15.87658,120.5621,27.0
Sison,Agat,5,16.211391,120.502936,145.0
Sison,Alibeng,5,16.135789,120.613189,421.0
Sison,Amagbagan,5,16.17132,120.48238,77.0
Sison,Artacho,5,16.1978,120.49812,117.0
Sison,AsanNorte,5,16.19168,120.52068,128.0
Sison,AsanSur,5,16.1587,120.5194,78.0
Sison,BantayInsik,5,16.187225,120.463025,111.0
Sison,Bila,5,16.183429,120.5134,104.0
Sison,Binmeckeg,5,16.207287,120.475887,112.0
Sison,BulaoenEast,5,16.19356,120.46962,93.0
Sison,BulaoenWest,5,16.179443,120.463914,146.0
Sison,Cabaritan,5,16.194317,120.479733,98.0
Sison,Calunetan,5,16.158371,120.596329,669.0
Sison,Camangaan,5,16.1559,120.49035,93.0
Sison,Cauringan,5,16.189486,120.4981,109.0
Sison,Dungon,5,16.226417,120.51705,258.0
Sison,Esperanza,5,16.201225,120.489025,114.0
Sison,Inmalog,5,16.196567,120.551917,214.0
Sison,Killo,5,16.119163,120.575437,67.0
Sison,Labayug,5,16.182656,120.592789,783.0
Sison,Paldit,5,16.170625,120.5182,92.0
Sison,Pindangan,5,16.176883,120.471317,98.0
Sison,Pinmilapil,5,16.203871,120.4551,160.0
Sison,PoblacionCentral,5,16.17415,120.49775,93.0
Sison,PoblacionNorte,5,16.180117,120.4913,90.0
Sison,PoblacionSur,5,16.166543,120.504914,82.0
Sison,Sagunto,5,16.203888,120.51255,143.0
Sison,Tara-Tara,5,16.157843,120.476829,63.0
Tayug,Agno,6,16.021992,120.719992,56.0
Tayug,Amistad,6,16.033462,120.733675,58.0
Tayug,BarangayA,6,16.031843,120.744371,65.0
Tayug,BarangayB,6,16.028867,120.743567,65.0
Tayug,BarangayC,6,16.03116,120.73876,57.0
Tayug,BarangayD,6,16.026243,120.739771,64.0
Tayug,Barangobong,6,16.008789,120.719278,50.0
Tayug,C.Lichauco,6,15.983891,120.767073,63.0
Tayug,Carriedo,6,16.03884,120.75762,68.0
Tayug,Evangelista,6,16.010583,120.739733,58.0
Tayug,Guzon,6,16.031683,120.709089,55.0
Tayug,Lawak,6,15.99591,120.75107,60.0
Tayug,Legaspi,6,16.049688,120.737088,64.0
Tayug,Libertad,6,16.022614,120.759314,68.0
Tayug,Magallanes,6,16.01881,120.73012,53.0
Tayug,Panganiban,6,16.0084,120.768575,70.0
Tayug,Saleng,6,15.99514,120.75916,62.0
Tayug,SantoDomingo,6,15.997383,120.73975,60.0
Tayug,Toketec,6,16.014489,120.763667,66.0
Tayug,Trenchera,6,16.0292,120.758217,65.0
Tayug,Zamora,6,15.99795,120.775967,69.0
Umingan,AbotMolina,6,15.90409,120.83282,98.0
Umingan,Alo-O,6,15.903155,120.885264,154.0
Umingan,Amaronan,6,15.948667,120.829144,100.0
Umingan,Annam,6,15.947818,120.859364,138.0
Umingan,Bantug,6,15.914314,120.846557,115.0
Umingan,Baracbac,6,15.848754,120.851142,95.0
Umingan,Barat,6,15.943936,120.810782,85.0
Umingan,Buenavista,6,15.938517,120.789533,72.0
Umingan,Cabalitian,6,15.927117,120.747283,55.0
Umingan,Cabangaran,6,15.876975,120.870087,118.0
Umingan,Cabaruan,6,15.901563,120.740138,56.0
Umingan,Cabatuan,6,15.90125,120.852663,115.0
Umingan,Cadiz,6,15.864057,120.749043,63.0
Umingan,Calitlitan,6,15.962063,120.863875,176.0
Umingan,Capas,6,15.91285,120.826392,97.0
Umingan,CarayunganSur,6,15.889178,120.842633,100.0
Umingan,Carosalesan,6,15.887321,120.865407,121.0
Umingan,Casilan,6,15.88294,120.77689,74.0
Umingan,Caurdanetaan,6,15.924825,120.847737,118.0
Umingan,Concepcion,6,15.85781,120.77099,67.0
Umingan,Decreto,6,15.931643,120.724186,44.0
Umingan,DelRosario,6,15.913428,120.799461,80.0
Umingan,Diaz,6,15.838085,120.824763,121.0
Umingan,Diket,6,15.9432,120.889753,305.0
Umingan,DonJustoAbalos,6,15.9331,120.858857,126.0
Umingan,DonMontano,6,15.917867,120.864067,133.0
Umingan,Esperanza,6,15.941264,120.799391,78.0
Umingan,Evangelista,6,15.949725,120.844667,120.0
Umingan,Flores,6,15.935822,120.778189,67.0
Umingan,Fulgosino,6,15.900705,120.795967,87.0
Umingan,Gonzales,6,15.919069,120.752175,53.0
Umingan,LaPaz,6,15.917262,120.736537,53.0
Umingan,Labuan,6,15.94004,120.73552,45.0
Umingan,Lauren,6,15.938487,120.830925,98.0
Umingan,Lubong,6,15.92115,120.80891,81.0
Umingan,LunaEste,6,15.843488,120.806788,156.0
Umingan,LunaWeste,6,15.863714,120.78535,77.0
Umingan,Mantacdang,6,15.944671,120.763471,59.0
Umingan,Maseil-Seil,6,15.910573,120.879373,152.0
Umingan,Nampalcan,6,15.902041,120.820894,83.0
Umingan,Nancalabasaan,6,15.9313,120.82938,96.0
Umingan,Pangangaan,6,15.880553,120.815753,131.0
Umingan,Papallasen,6,15.928414,120.738557,50.0
Umingan,Pemienta,6,15.921364,120.826464,93.0
Umingan,PoblacionEast,6,15.924,120.83936,110.0
Umingan,PoblacionWest,6,15.92582,120.83406,102.0
Umingan,Prado,6,15.898269,120.769977,71.0
Umingan,Resurreccion,6,15.889138,120.736712,64.0
Umingan,Ricos,6,15.873677,120.845085,101.0
