municipality,barangay,district,lat,lon,elevation_m,soil_desc,soil_series,aez
Pozorrubio,Sugcong,5,16.148117,120.546817,150.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Talogtog,5,16.10945,120.534633,45.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Tulnac,5,16.117529,120.525029,46.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Villegas,5,16.141614,120.554571,85.0,Umingan silt loam,Umingan,Lowlands
Rosales,Acop,6,15.86822,120.65452,42.0,San Fabian clay loam,San Fabian,Highlands
Rosales,Bakitbakit,6,15.8806,120.6515,35.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Balingcanaway,6,15.896867,120.651517,40.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Cabalaoangan Norte,6,15.885,120.627157,32.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Cabalaoangan Sur,6,15.879786,120.634929,34.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Calanutan,6,15.86538,120.63548,31.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Camangaan,6,15.848967,120.634317,33.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Capitan Tomas,6,15.909583,120.6458,35.0,Annam clay loam,Annam,Uplands
Rosales,Carmay East,6,15.91566,120.64044,33.0,San Manuel sandy loam,San Manuel,Lowlands
Rosales,Carmay West,6,15.913167,120.624417,30.0,San Manuel sandy loam,San Manuel,Lowlands
Rosales,Carmen East,6,15.88938,120.60206,28.0,San Manuel sand,San Manuel,Lowlands
Rosales,Carmen West,6,15.88992,120.5942,28.0,San Manuel fine sandy loam,San Manuel,Lowlands
Rosales,Casanicolasan,6,15.927971,120.641871,32.0,San Manuel sandy loam,San Manuel,Lowlands
Rosales,Coliling,6,15.85408,120.62198,33.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Don Antonio Village,6,15.898567,120.623,34.0,San Manuel sand,San Manuel,Lowlands
Rosales,Guiling,6,15.84982,120.6235,31.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Palakipak,6,15.864083,120.617833,32.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Pangaoan,6,15.83765,120.643483,33.0,San Fabian clay loam,San Fabian,Highlands
Rosales,Rabago,6,15.85694,120.63296,30.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Rizal,6,15.924167,120.630889,30.0,San Manuel sand,San Manuel,Lowlands
Rosales,Salvacion,6,15.84498,120.66118,67.0,San Fabian clay loam,San Fabian,Highlands
Rosales,San Angel,6,15.8614,120.6575,65.0,San Fabian clay loam,San Fabian,Highlands
Rosales,San Antonio,6,15.85452,120.66194,74.0,San Fabian clay loam,San Fabian,Highlands
Rosales,San Bartolome,6,15.877,120.613937,30.0,San Manuel fine sandy loam,San Manuel,Lowlands
Rosales,San Isidro,6,15.83744,120.62604,30.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,San Luis,6,15.84218,120.65192,44.0,San Fabian clay loam,San Fabian,Highlands
Rosales,San Pedro East,6,15.894833,120.64655,38.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,San Pedro West,6,15.89378,120.63666,36.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,San Vicente,6,15.84742,120.67394,91.0,San Fabian clay loam,San Fabian,Highlands
Rosales,Station District,6,15.89274,120.62038,32.0,San Manuel sand,San Manuel,Lowlands
Rosales,Tomana East,6,15.893543,120.612914,34.0,San Manuel sand,San Manuel,Lowlands
Rosales,Tomana West,6,15.892029,120.608743,28.0,San Manuel sand,San Manuel,Lowlands
Rosales,Zone I,6,15.888375,120.624075,30.0,San Manuel silt loam,San Manuel,Lowlands
Rosales,Zone II,6,15.897429,120.628114,35.0,Annam clay loam,Annam,Uplands
Rosales,Zone III,6,15.9049,120.620167,31.0,San Manuel sand,San Manuel,Lowlands
Rosales,Zone IV,6,15.90526,120.62972,30.0,San Manuel sand,San Manuel,Lowlands
Rosales,Zone V,6,15.8898,120.63062,39.0,San Manuel silt loam,San Manuel,Lowlands
San Manuel,Cabacaraan,6,16.05634,120.67174,61.0,San Manuel sandy loam,San Manuel,Lowlands
San Manuel,Cabaritan,6,16.051075,120.658713,54.0,Umingan sand,Umingan,Lowlands
San Manuel,Flores,6,16.068733,120.6855,68.0,Umingan sand,Umingan,Lowlands
San Manuel,Guiset Norte,6,16.07238,120.66876,74.0,Umingan sand,Umingan,Lowlands
San Manuel,Guiset Sur,6,16.065029,120.666714,68.0,Umingan sand,Umingan,Lowlands
San Manuel,Lapalo,6,16.144,120.631117,325.0,Annam clay loam,Annam,Uplands
San Manuel,Nagsaag,6,16.06525,120.6565,66.0,Umingan sand,Umingan,Lowlands
San Manuel,Narra,6,16.099693,120.698064,86.0,Pangasinan river sand,Pangasinan,Lowlands
San Manuel,San Antonio-Arzadon,6,16.057914,120.689343,62.0,San Manuel sandy loam,San Manuel,Lowlands
San Manuel,San Bonifacio,6,16.083056,120.679278,80.0,Umingan sand,Umingan,Lowlands
San Manuel,San Juan,6,16.04944,120.67488,59.0,San Manuel sandy loam,San Manuel,Lowlands
San Manuel,San Roque,6,16.153538,120.682758,341.0,Pangasinan river sand,Pangasinan,Lowlands
San Manuel,San Vicente,6,16.062945,120.710409,66.0,Umingan sand,Umingan,Lowlands
San Manuel,Santo Domingo,6,16.055129,120.6444,56.0,Umingan sand,Umingan,Lowlands
San Nicolas,Bensican,6,16.159717,120.785383,457.0,Annam clay loam,Annam,Uplands
San Nicolas,Cabitnongan,6,16.07854,120.77106,97.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Caboloan,6,16.08765,120.73284,79.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Cacabugaoan,6,16.107175,120.839363,934.0,Annam clay loam,Annam,Uplands
San Nicolas,Calanutian,6,16.134363,120.68725,181.0,Annam clay loam,Annam,Uplands
San Nicolas,Calaocan,6,16.080433,120.78185,104.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Camanggaan,6,16.0953,120.73158,83.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Camindoroan,6,16.117686,120.702914,126.0,Pangasinan river sand,Pangasinan,Lowlands
San Nicolas,Casaratan,6,16.070667,120.7584,83.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Dalumpinas,6,16.143956,120.790278,383.0,Annam clay loam,Annam,Uplands
San Nicolas,Fianza,6,16.1511,120.810767,826.0,Annam clay loam,Annam,Uplands
San Nicolas,Lungao,6,16.085114,120.761486,88.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Malico,6,16.143675,120.829375,584.0,Annam clay loam,Annam,Uplands
San Nicolas,Malilion,6,16.107267,120.745183,98.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Nagkaysa,6,16.06784,120.76056,85.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Nining,6,16.06404,120.7898,93.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Poblacion East,6,16.074275,120.762375,86.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Poblacion West,6,16.074267,120.75725,83.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Salingcob,6,16.110563,120.776525,243.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Salpad,6,16.18376,120.76676,499.0,Annam clay loam,Annam,Uplands
San Nicolas,San Felipe East,6,16.173607,120.706553,281.0,Annam clay loam,Annam,Uplands
San Nicolas,San Felipe West,6,16.148975,120.7008,305.0,Annam clay loam,Annam,Uplands
San Nicolas,San Isidro,6,16.116886,120.758243,322.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,San Jose,6,16.057067,120.774167,77.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,San Rafael Centro,6,16.0757,120.734117,70.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,San Rafael East,6,16.073867,120.749167,77.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,San Rafael West,6,16.063025,120.7324,69.0,San Manuel sandy loam,San Manuel,Lowlands
San Nicolas,San Roque,6,16.060889,120.752922,74.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Santa Maria East,6,16.1137,120.8093,318.0,Annam clay loam,Annam,Uplands
San Nicolas,Santa Maria West,6,16.09686,120.79538,230.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Santo Tomas,6,16.099786,120.7175,81.0,Pangasinan river sand,Pangasinan,Lowlands
San Nicolas,Siblot,6,16.069962,120.776913,92.0,Umingan sandy loam,Umingan,Lowlands
San Nicolas,Sobol,6,16.0579,120.7426,72.0,Umingan sandy loam,Umingan,Lowlands
San Quintin,Alac,6,16.00235,120.798,105.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Baligayan,6,15.95046,120.7222,45.0,San Manuel sandy loam,San Manuel,Lowlands
San Quintin,Bantog,6,15.962786,120.813643,96.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Bolintaguen,6,15.98075,120.782086,74.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Cabalaoangan,6,15.9811,120.809014,104.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Cabangaran,6,16.01865,120.85517,921.0,Annam clay loam,Annam,Uplands
San Quintin,Calomboyan,6,15.98305,120.821517,116.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Carayacan,6,15.969754,120.827385,116.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Casantamarian,6,16.008445,120.864073,751.0,Annam clay loam,Annam,Uplands
San Quintin,Gonzalo,6,15.991667,120.865656,263.0,Annam clay loam,Annam,Uplands
San Quintin,Labuan,6,15.9487,120.73175,45.0,San Manuel sandy loam,San Manuel,Lowlands
San Quintin,Lagasit,6,15.997458,120.790825,83.0,Umingan silt loam,Umingan,Lowlands
San Quintin,Lumayao,6,15.96647,120.74172,51.0,San Manuel sandy loam,San Manuel,Lowlands
San Quintin,Mabini,6,16.028263,120.855238,1016.0,Annam clay loam,Annam,Uplands
