municipality,barangay,district,lat,lon,elevation_m,avg_temp_c,annual_rainfall_mm
Sison,Poblacion Norte,5,16.180117,120.4913,90.0,26.66,2602.5
Sison,Poblacion Sur,5,16.166543,120.504914,82.0,26.76,2453.4
Sison,Sagunto,5,16.203888,120.51255,143.0,26.05,2602.5
Sison,Tara-Tara,5,16.157843,120.476829,63.0,26.98,2524.9
Tayug,Agno,6,16.021992,120.719992,56.0,26.95,2480.6
Tayug,Amistad,6,16.033462,120.733675,58.0,26.95,2480.6
Tayug,Barangay A,6,16.031843,120.744371,65.0,26.82,2480.6
Tayug,Barangay B,6,16.028867,120.743567,65.0,26.93,2480.6
Tayug,Barangay C,6,16.03116,120.73876,57.0,26.94,2480.6
Tayug,Barangay D,6,16.026243,120.739771,64.0,26.93,2480.6
Tayug,Barangobong,6,16.008789,120.719278,50.0,26.96,2480.6
Tayug,C. Lichauco,6,15.983891,120.767073,63.0,27.03,2480.6
Tayug,Carriedo,6,16.03884,120.75762,68.0,26.87,2480.6
Tayug,Evangelista,6,16.010583,120.739733,58.0,26.95,2480.6
Tayug,Guzon,6,16.031683,120.709089,55.0,27.16,2222.9
Tayug,Lawak,6,15.99591,120.75107,60.0,27.03,2480.6
Tayug,Legaspi,6,16.049688,120.737088,64.0,26.79,2480.6
Tayug,Libertad,6,16.022614,120.759314,68.0,27.02,2480.6
Tayug,Magallanes,6,16.01881,120.73012,53.0,26.95,2480.6
Tayug,Panganiban,6,16.0084,120.768575,70.0,27.01,2480.6
Tayug,Saleng,6,15.99514,120.75916,62.0,27.03,2480.6
Tayug,Santo Domingo,6,15.997383,120.73975,60.0,26.94,2480.6
Tayug,Toketec,6,16.014489,120.763667,66.0,27.02,2480.6
Tayug,Trenchera,6,16.0292,120.758217,65.0,26.88,2480.6
Tayug,Zamora,6,15.99795,120.775967,69.0,27.01,2480.6
Umingan,Abot Molina,6,15.90409,120.83282,98.0,26.46,2606.4
Umingan,Alo-O,6,15.903155,120.885264,154.0,26.35,2592.2
Umingan,Amaronan,6,15.948667,120.829144,100.0,26.45,2606.4
Umingan,Annam,6,15.947818,120.859364,138.0,26.4,2606.4
Umingan,Bantug,6,15.914314,120.846557,115.0,26.53,2606.4
Umingan,Baracbac,6,15.848754,120.851142,95.0,26.35,2387.5
